策略名稱,股票代號,股票名稱,樣本數,平均勝率,平均報酬率,平均持有天數
F14_MCTS10,2106,,1,1.0,0.312332,500.0
F14_MCTS10,2201,,2,0.0,-0.071757,500.0
F14_MCTS10,2204,,1,1.0,0.426583,500.0
F14_MCTS10,2208,,1,0.0,-0.102828,500.0
F14_MCTS10,2308,,2,1.0,1.0073634999999999,441.0
F14_MCTS10,2312,,1,1.0,0.618682,316.0
F14_MCTS10,2317,,1,1.0,0.409761,500.0
F14_MCTS10,2323,,1,0.0,-0.081069,500.0
F14_MCTS10,2324,,1,1.0,0.328881,500.0
F14_MCTS10,2332,,1,1.0,0.108452,500.0
F14_MCTS10,2347,,3,0.6666666666666666,0.3315713333333333,500.0
F14_MCTS10,2354,,5,0.6,0.0366538,500.0
F14_MCTS10,2356,,1,1.0,1.779989,500.0
F14_MCTS10,2357,,1,1.0,1.84245,500.0
F14_MCTS10,2362,,2,0.5,-0.050711000000000006,500.0
F14_MCTS10,2377,,1,1.0,1.619395,500.0
F14_MCTS10,2382,,2,1.0,0.46226,499.5
F14_MCTS10,2385,,1,1.0,0.630461,500.0
F14_MCTS10,2409,,1,1.0,1.639816,375.0
F14_MCTS10,2441,,1,1.0,0.065158,500.0
F14_MCTS10,2448,,1,0.0,-0.037996,500.0
F14_MCTS10,2454,,2,0.5,0.08308299999999999,500.0
F14_MCTS10,2474,,3,0.6666666666666666,0.4779956666666667,500.0
F14_MCTS10,2489,,1,0.0,-0.507391,403.0
F14_MCTS10,2498,,3,0.3333333333333333,-0.23787233333333338,333.0
F14_MCTS10,2514,,1,1.0,0.101194,500.0
F14_MCTS10,2603,,1,1.0,13.192399,325.0
F14_MCTS10,2605,,3,0.6666666666666666,0.15409566666666666,500.0
F14_MCTS10,2606,,1,0.0,-0.152939,500.0
F14_MCTS10,2607,,2,1.0,0.0777775,500.0
F14_MCTS10,2615,,3,1.0,1.2484306666666667,328.3333333333333
F14_MCTS10,2618,,1,1.0,0.892271,500.0
F14_MCTS10,2903,,2,0.5,-0.1077855,500.0
F14_MCTS10,2905,,2,0.5,0.013082499999999997,481.0
F14_MCTS10,2912,,1,0.0,-0.109962,500.0
F14_MCTS10,2913,,1,1.0,0.527441,313.0
F14_MCTS10,2915,,1,1.0,0.010965,500.0
F14_MCTS10,3036,,1,1.0,1.55445,497.0
F14_MCTS10,3037,,2,0.5,0.33019750000000003,500.0
F14_MCTS10,3044,,2,1.0,0.5569815,500.0
F14_MCTS10,3045,,1,1.0,0.105681,500.0
F14_MCTS10,3231,,2,0.5,0.160214,500.0
F14_MCTS10,3380,,1,1.0,0.073241,500.0
F14_MCTS10,3481,,1,0.0,-0.506247,232.0
F14_MCTS10,3532,,1,1.0,0.235441,500.0
F14_MCTS10,3702,,1,1.0,0.218617,500.0
F14_MCTS10,4123,,1,1.0,0.027669,500.0
F14_MCTS10,4414,,1,0.0,-0.492725,205.0
F14_MCTS10,4938,,1,1.0,0.688596,500.0
F14_MCTS10,4958,,1,1.0,0.191638,500.0
F14_MCTS10,5483,,1,1.0,2.811891,500.0
F14_MCTS10,6147,,1,1.0,0.265028,500.0
F14_MCTS10,6191,,1,1.0,0.47575,500.0
F14_MCTS10,6239,,1,1.0,0.265444,500.0
F14_MCTS10,6505,,3,0.6666666666666666,0.18810499999999997,500.0
F14_MCTS10,8926,,1,1.0,0.451007,500.0
F14_MCTS10,9904,,2,1.0,0.09353550000000001,500.0
F14_MCTS10,9907,,1,1.0,0.133207,500.0
F14_MCTS10,9945,,1,1.0,0.22355,500.0
F14_MCTS11,1101,,3,1.0,0.29100333333333334,500.0
F14_MCTS11,1102,,1,0.0,-0.1897,500.0
F14_MCTS11,1103,,1,0.0,-0.070123,500.0
F14_MCTS11,1104,,1,1.0,1.423557,435.0
F14_MCTS11,1108,,1,1.0,0.977797,166.0
F14_MCTS11,1201,,1,0.0,-0.037123,500.0
F14_MCTS11,1216,,1,1.0,0.328579,500.0
F14_MCTS11,1217,,1,1.0,0.253411,500.0
F14_MCTS11,1227,,1,0.0,-0.00174,500.0
F14_MCTS11,1301,,1,0.0,-0.245362,500.0
F14_MCTS11,1303,,2,0.5,0.14697649999999998,500.0
F14_MCTS11,1304,,1,1.0,2.488834,327.0
F14_MCTS11,1307,,1,1.0,0.434022,500.0
F14_MCTS11,1308,,1,1.0,2.321935,398.0
F14_MCTS11,1312,,1,0.0,-0.321815,500.0
F14_MCTS11,1313,,2,0.5,0.5778965,500.0
F14_MCTS11,1314,,1,1.0,0.665616,500.0
F14_MCTS11,1319,,2,0.5,0.6822465,391.5
F14_MCTS11,1326,,1,0.0,-0.152344,500.0
F14_MCTS11,1402,,1,0.0,-0.085501,500.0
F14_MCTS11,1409,,2,1.0,0.7393965,410.0
F14_MCTS11,1419,,1,0.0,-0.003046,500.0
F14_MCTS11,1434,,1,1.0,0.0209,500.0
F14_MCTS11,1440,,1,1.0,0.172687,500.0
F14_MCTS11,1447,,1,1.0,0.77824,446.0
F14_MCTS11,1455,,1,1.0,1.504751,426.0
F14_MCTS11,1459,,1,1.0,1.536859,315.0
F14_MCTS11,1476,,1,1.0,0.459388,500.0
F14_MCTS11,1477,,2,1.0,1.054259,453.5
F14_MCTS11,1503,,4,1.0,0.17423450000000001,500.0
F14_MCTS11,1504,,2,1.0,0.708365,500.0
F14_MCTS11,1513,,1,1.0,0.355589,500.0
